2026-03-21 11:31:53,560 | DEBUG    | debugger.py:89 | ENTER __main__.create_app | Mem: 46.27MB | Args: testing=False
2026-03-21 11:31:53,574 | DEBUG    | debugger.py:107 | EXIT  __main__.create_app | Time: 13.57ms | Mem diff: +0.00MB | Return: <Flask 'app'>
2026-03-21 11:32:00,144 | INFO     | app.py:35 | REQ  | GET /api/outcome/categories | Args: {}
2026-03-21 11:32:00,145 | INFO     | app.py:35 | REQ  | GET /api/outcome/records | Args: {'from': '2026-03-21', 'to': '2026-03-21'}
2026-03-21 11:32:00,146 | INFO     | app.py:35 | REQ  | GET /api/staff | Args: {}
2026-03-21 11:32:00,182 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 17.53ms | Query: SELECT o.id, o.category_id, c.name, o.amount, o.expense_date, o.description, o.created_at FROM outcome_records o JOIN outcome_categories c ON c.id = o.category_id WHERE o.expense_date BETWEEN %s AND %...
2026-03-21 11:32:00,182 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 17.35ms | Query: SELECT id, name FROM outcome_categories ORDER BY name
2026-03-21 11:32:00,183 | INFO     | app.py:39 | RESP | GET /api/outcome/categories | Status: 200
2026-03-21 11:32:00,185 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 2.98ms | Query: SELECT sp.id, sp.staff_id, st.first_name, st.last_name, sp.amount, sp.payment_date, sp.note, sp.created_at FROM salary_payments sp JOIN staff st ON st.id = sp.staff_id WHERE sp.payment_date BETWEEN %s...
2026-03-21 11:32:00,186 | INFO     | app.py:39 | RESP | GET /api/outcome/records | Status: 200
2026-03-21 11:32:00,192 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 27.32ms | Query: SELECT s.id, s.first_name, s.last_name, s.phone, s.email, s.bio, s.base_salary, s.commission_rate, s.last_paid_at, s.total_revenue, s.is_active, r.name, COALESCE(SUM(sp.amount), 0) AS commission_incom...
2026-03-21 11:32:00,192 | INFO     | app.py:39 | RESP | GET /api/staff | Status: 200
2026-03-21 11:32:05,246 | INFO     | app.py:35 | REQ  | GET /api/schedule | Args: {'start': '2026-03-20T23:00:00.000Z', 'end': '2026-03-21T22:59:59.999Z', 'status': 'on_duty'}
2026-03-21 11:32:05,247 | INFO     | app.py:35 | REQ  | GET /api/staff | Args: {}
2026-03-21 11:32:05,248 | INFO     | app.py:35 | REQ  | GET /api/schedule | Args: {'start': '2026-03-20T23:00:00.000Z', 'end': '2026-03-21T22:59:59.999Z'}
2026-03-21 11:32:05,255 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.57ms | Query: CREATE TABLE IF NOT EXISTS shifts ( id SERIAL PRIMARY KEY, staff_id INT NOT NULL REFERENCES staff(id) ON DELETE CASCADE, start_time TIMESTAMPTZ NOT NULL, end_time TIMESTAMPTZ NOT NULL, note TEXT, stat...
2026-03-21 11:32:05,255 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.84ms | Query: CREATE TABLE IF NOT EXISTS shifts ( id SERIAL PRIMARY KEY, staff_id INT NOT NULL REFERENCES staff(id) ON DELETE CASCADE, start_time TIMESTAMPTZ NOT NULL, end_time TIMESTAMPTZ NOT NULL, note TEXT, stat...
2026-03-21 11:32:05,257 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 3.75ms | Query: SELECT s.id, s.first_name, s.last_name, s.phone, s.email, s.bio, s.base_salary, s.commission_rate, s.last_paid_at, s.total_revenue, s.is_active, r.name, COALESCE(SUM(sp.amount), 0) AS commission_incom...
2026-03-21 11:32:05,258 | INFO     | app.py:39 | RESP | GET /api/staff | Status: 200
2026-03-21 11:32:05,259 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 3.84ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS status VARCHAR(20) NOT NULL DEFAULT 'pending'
2026-03-21 11:32:05,260 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.23ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS approved_by INT REFERENCES staff(id)
2026-03-21 11:32:05,261 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.18ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS approved_at TIMESTAMPTZ
2026-03-21 11:32:05,262 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.24ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS completion_percent NUMERIC(5, 2) NOT NULL DEFAULT 100
2026-03-21 11:32:05,263 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.35ms | Query: ALTER TABLE shifts ADD COLUMN IF NOT EXISTS pay_multiplier NUMERIC(6, 3) NOT NULL DEFAULT 1.0
